Run Date,Account,Account Number,Action,Symbol,Description,Quantity,Price ($),Commission ($),Amount ($),Settlement Date
03/22/2023,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,4,378.40,0.00,-1513.60,03/24/2023
04/14/2023,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,108.40,04/14/2023
05/10/2023,Individual,Z00001234,YOU SOLD,JEPI,JPM EQUITY PREMIUM INCOME ETF,20,54.20,0.00,1084.00,05/12/2023
06/15/2023,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.418,220.50,0.00,-92.17,06/15/2023
07/12/2023,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,7,191.80,0.00,-1342.60,07/14/2023
08/01/2023,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,24.80,08/01/2023
08/24/2023,Individual,Z00001234,YOU BOUGHT,BND,VANGUARD TOTAL BOND,15,71.20,0.00,-1068.00,08/28/2023
09/15/2023,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,3,408.50,0.00,-1225.50,09/19/2023
10/05/2023,Individual,Z00001234,JOURNAL,,FREE BALANCE INTEREST,,,,1.45,10/05/2023
11/14/2023,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,36.40,11/14/2023
12/01/2023,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,5,232.40,0.00,-1162.00,12/05/2023
12/22/2023,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.218,70.90,0.00,-15.46,12/22/2023
01/18/2024,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,3,393.40,0.00,-1180.20,01/22/2024
02/14/2024,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,118.20,02/14/2024
02/28/2024,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,6,182.50,0.00,-1095.00,03/01/2024
03/15/2024,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,4,478.20,0.00,-1912.80,03/19/2024
04/03/2024,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.412,251.40,0.00,-103.58,04/03/2024
04/19/2024,Individual,Z00001234,DIVIDEND RECEIVED,JEPI,JPM EQUITY PREMIUM INCOME ETF,,,,15.80,04/19/2024
05/10/2024,Individual,Z00001234,YOU BOUGHT,BND,VANGUARD TOTAL BOND,20,72.40,0.00,-1448.00,05/14/2024
05/17/2024,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,38.20,05/17/2024
06/12/2024,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,2,425.10,0.00,-850.20,06/14/2024
07/08/2024,Individual,Z00001234,YOU SOLD,AAPL,APPLE INC,10,225.80,0.00,2258.00,07/10/2024
07/22/2024,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,124.50,07/22/2024
08/15/2024,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,3,540.40,0.00,-1621.20,08/19/2024
08/30/2024,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.215,72.60,0.00,-15.61,08/30/2024
09/14/2024,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,28.40,09/14/2024
09/26/2024,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,5,228.40,0.00,-1142.00,09/30/2024
10/15/2024,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,4,278.50,0.00,-1114.00,10/17/2024
10/30/2024,Individual,Z00001234,JOURNAL,,WIRE TRANSFER,,,,5000.00,10/30/2024
11/14/2024,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,40.10,11/14/2024
12/01/2024,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,2,580.20,0.00,-1160.40,12/03/2024
12/18/2024,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.395,288.40,0.00,-113.92,12/18/2024
01/10/2025,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,3,420.80,0.00,-1262.40,01/14/2025
02/14/2025,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,132.40,02/14/2025
02/26/2025,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,5,238.10,0.00,-1190.50,02/28/2025
03/12/2025,Individual,Z00001234,YOU SOLD,VOO,VANGUARD S&P 500 ETF,3,548.20,0.00,1644.60,03/14/2025
04/04/2025,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.220,72.80,0.00,-16.02,04/04/2025
04/18/2025,Individual,Z00001234,DIVIDEND RECEIVED,JEPI,JPM EQUITY PREMIUM INCOME ETF,,,,16.20,04/18/2025
05/15/2025,Individual,Z00001234,YOU BOUGHT,BND,VANGUARD TOTAL BOND,15,72.20,0.00,-1083.00,05/19/2025
05/30/2025,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,42.50,05/30/2025
06/11/2025,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,2,452.30,0.00,-904.60,06/13/2025
07/14/2025,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,4,228.50,0.00,-914.00,07/16/2025
07/25/2025,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.398,295.10,0.00,-117.45,07/25/2025
08/13/2025,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,29.80,08/13/2025
08/27/2025,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,2,572.40,0.00,-1144.80,08/29/2025
09/15/2025,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,3,298.50,0.00,-895.50,09/17/2025
10/02/2025,Individual,Z00001234,JOURNAL,,FREE BALANCE INTEREST,,,,2.15,10/02/2025
10/14/2025,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,142.30,10/14/2025
10/28/2025,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,5,242.00,0.00,-1210.00,10/30/2025
11/14/2025,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.205,72.40,0.00,-14.84,11/14/2025
11/24/2025,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,44.20,11/24/2025
12/05/2025,Individual,Z00001234,YOU SOLD,JEPI,JPM EQUITY PREMIUM INCOME ETF,15,58.20,0.00,873.00,12/09/2025
12/19/2025,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,3,438.50,0.00,-1315.50,12/23/2025
01/12/2026,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,4,290.20,0.00,-1160.80,01/14/2026
01/30/2026,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,30.40,01/30/2026
02/13/2026,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,2,562.40,0.00,-1124.80,02/17/2026
02/27/2026,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.402,290.50,0.00,-116.78,02/27/2026
03/13/2026,Individual,Z00001234,JOURNAL,,ACH DEBIT,,,,-500.00,03/13/2026
03/30/2026,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,45.80,03/30/2026
04/07/2026,Individual,Z00001234,YOU BOUGHT,BND,VANGUARD TOTAL BOND,12,72.50,0.00,-870.00,04/09/2026
04/24/2026,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,6,232.40,0.00,-1394.40,04/28/2026
05/05/2026,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,148.20,05/05/2026
